;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:00";0;;;;;;;;;;;
"1901-01-01 00:00:00";0;;;;;;;;;;;
"1902-01-01 00:00:00";0;;;;;;;;;;;
"1903-01-01 00:00:00";0;;;;;;;;;;;
"1904-01-01 00:00:00";0;;;;;;;;;;;
"1905-01-01 00:00:00";0;;;;;;;;;;;
"1906-01-01 00:00:00";0;;;;;;;;;;;
"1907-01-01 00:00:00";0;;;;;;;;;;;
"1908-01-01 00:00:00";0;;;;;;;;;;;
"1909-01-01 00:00:00";0;;;;;;;;;;;
"1910-01-01 00:00:00";0;;;;;;;;;;;
"1911-01-01 00:00:00";0;;;;;;;;;;;
"1912-01-01 00:00:00";0;;;;;;;;;;;
"1913-01-01 00:00:00";0;;;;;;;;;;;
"1914-01-01 00:00:00";0;;;;;;;;;;;
"1915-01-01 00:00:00";0;;;;;;;;;;;
"1916-01-01 00:00:00";0;;;;;;;;;;;
"1917-01-01 00:00:00";0;;;;;;;;;;;
"1918-01-01 00:00:00";0;;;;;;;;;;;
"1919-01-01 00:00:00";0;;;;;;;;;;;
"1920-01-01 00:00:00";0;;;;;;;;;;;
"1921-01-01 00:00:00";0;;;;;;;;;;;
"1922-01-01 00:00:00";0;;;;;;;;;;;
"1923-01-01 00:00:00";0;;;;;;;;;;;
"1924-01-01 00:00:00";0;;;;;;;;;;;
"1925-01-01 00:00:00";0;;;;;;;;;;;
"1926-01-01 00:00:00";0;;;;;;;;;;;
"1927-01-01 00:00:00";0;;;;;;;;;;;
"1928-01-01 00:00:00";0;;;;;;;;;;;
"1929-01-01 00:00:00";0;;;;;;;;;;;
"1930-01-01 00:00:00";0;;;;;;;;;;;
"1931-01-01 00:00:00";0;;;;;;;;;;;
"1932-01-01 00:00:00";0;;;;;;;;;;;
"1933-01-01 00:00:00";0;;;;;;;;;;;
"1934-01-01 00:00:00";0;;;;;;;;;;;
"1935-01-01 00:00:00";0;;;;;;;;;;;
"1936-01-01 00:00:00";0;;;;;;;;;;;
"1937-01-01 00:00:00";0;;;;;;;;;;;
"1938-01-01 00:00:00";0;;;;;;;;;;;
"1939-01-01 00:00:00";0;;;;;;;;;;;
"1940-01-01 00:00:00";0;;;;;;;;;;;
"1941-01-01 00:00:00";0;;;;;;;;;;;
"1942-01-01 00:00:00";0;;;;;;;;;;;
"1943-01-01 00:00:00";0;;;;;;;;;;;
"1944-01-01 00:00:00";0;;;;;;;;;;;
